feed_id,player_id,first_name,last_name,team_abbrev,pos,pos2,projected_points,points,user_team_id,picked,position,sc_team,sc_coach,round,year
1001195,311,Izak,Rankine,GCS,FWD,,107,56,33301,true,FWD,"What's Up, Doch?",Jordan,8,2020
1006108,312,Mitchell,Riordan,GCS,MID,,25,,,,,,,8,2020
1008940,346,Ben,Jarvis,GEE,DEF,,25,,,,,,,8,2020
1004681,348,Jacob,Kennerley,GEE,DEF,,25,,,,,,,8,2020
997254,350,Nathan,Kreuger,GEE,FWD,,25,,,,,,,8,2020
1013977,355,Stefan,Okunbor,GEE,DEF,,25,,,,,,,8,2020
1008202,360,Blake,Schlensog,GEE,FWD,,25,,,,,,,8,2020
1004940,362,Sam,Simpson,GEE,MID,,57,49,33301,false,MID,"What's Up, Doch?",Jordan,8,2020
999382,368,Jake,Tarca,GEE,FWD,,25,,,,,,,8,2020
1008436,372,Kieren,Briggs,GWS,DEF,FWD,25,,,,,,,8,2020
1014038,373,Callum M.,Brown,GWS,DEF,,25,,,,,,,8,2020
1009708,374,Jack,Buckley,GWS,FWD,MID,25,,,,,,,8,2020
993902,385,Matthew,Flynn,GWS,RUC,,25,,,,,,,8,2020
1006135,402,Xavier,O'Halloran,GWS,MID,,25,,,,,,,8,2020
1002296,408,Nick,Shipley,GWS,MID,,24,,,,,,,8,2020
1006128,424,Will,Golds,HAW,FWD,MID,25,,,,,,,8,2020
1006159,425,Damon,Greaves,HAW,DEF,,25,,,,,,,8,2020
1004991,435,Harrison,Jones,HAW,MID,,54,,,,,,,8,2020
1006030,436,Jacob,Koschitzke,HAW,DEF,,25,,,,,,,8,2020
1001024,450,Ned,Reeves,HAW,RUC,,25,,,,,,,8,2020
1004919,451,Jackson,Ross,HAW,FWD,,25,,,,,,,8,2020
