feed_id,player_id,first_name,last_name,team_abbrev,pos,pos2,points,user_team_id,picked,position,round,year,teamname,coach
1005547,283,Joshua,Corbett,GCS,FWD,,,,,,2,2020,,
1006144,301,Ben,King,GCS,FWD,,61,,,,2,2020,,
294508,379,Aidan,Corr,GWS,DEF,,65,,,,2,2020,,
290733,589,Cameron,Sutcliffe,PTA,FWD,,,,,,2,2020,,
1005013,137,Flynn,Appleby,COL,DEF,,,,,,2,2020,,
291891,224,Jacob,Townsend,ESS,FWD,,41,,,,2,2020,,
1000908,32,Myles,Poholke,ADE,FWD,,,,,,2,2020,,
293255,299,George,Horlin-Smith,GCS,DEF,MID,,,,,2,2020,,
994410,754,Brad,Lynch,WBD,DEF,,,,,,2,2020,,
998390,434,Changkuoth,Jiath,HAW,DEF,,,,,,2,2020,,
990548,667,Jonathon,Marsh,STK,DEF,,,,,,2,2020,,
1002228,339,Lachie,Fogarty,GEE,MID,,,,,,2,2020,,
998321,568,Joel,Garner,PTA,DEF,,,,,,2,2020,,
1004909,772,Lachlan,Young,WBD,DEF,,,,,,2,2020,,
1004286,399,Zac,Langdon,GWS,FWD,,,,,,2,2020,,
298474,814,Francis,Watson,WCE,DEF,,,,,,2,2020,,
1008190,196,Brayden,Ham,ESS,FWD,MID,,,,,2,2020,,
1002354,245,Stefan,Giro,FRE,MID,,,,,,2,2020,,
1000072,164,John,Noble,COL,DEF,,41,,,,2,2020,,
998126,551,Joe,Atley,PTA,MID,,,,,,2,2020,,
293603,580,Sam,Mayes,PTA,MID,,,,,,2,2020,,
281075,320,Rory,Thompson,GCS,DEF,,,,,,2,2020,,
1004863,62,Mitchell,Hinge,BRL,MID,,,,,,2,2020,,
1003520,661,Darragh,Joyce,STK,DEF,,,,,,2,2020,,
1000860,262,Lachlan,Schultz,FRE,FWD,,35,,,,2,2020,,
1006087,292,Caleb,Graham,GCS,DEF,,,,,,2,2020,,
1006106,467,Kyle,Dunkley,MEL,FWD,MID,,,,,2,2020,,
296209,479,Kade,Kolodjashnij,MEL,MID,,,,,,2,2020,,
998212,213,Kobe,Mutch,ESS,MID,,,,,,2,2020,,
1003546,496,Joel,Smith,MEL,DEF,,53,,,,2,2020,,
1009208,314,Matthew,Rowell,GCS,MID,,171,,,,2,2020,,
1004356,775,Brayden,Ainsworth,WCE,MID,,,,,,2,2020,,
1009199,275,Noah,Anderson,GCS,MID,,75,,,,2,2020,,
1004894,508,Aiden,Bonar,NTH,MID,FWD,,,,,2,2020,,
1004989,664,Doulton,Langlands,STK,MID,,,,,,2,2020,,
997230,38,Tyson,Stengle,ADE,FWD,,,,,,2,2020,,
1006276,610,Derek,Eggmolesse-Smith,RIC,DEF,,,,,,2,2020,,
1001449,470,Mitch,Hannan,MEL,FWD,,,,,,2,2020,,
290246,510,Tom,Campbell,NTH,RUC,FWD,,,,,2,2020,,
1009399,475,Luke,Jackson,MEL,RUC,,30,,,,2,2020,,
1005330,466,Kade,Chandler,MEL,FWD,,,,,,2,2020,,
1000061,604,Callum,Coleman-Jones,RIC,RUC,FWD,,,,,2,2020,,
1009253,371,Lachlan,Ash,GWS,DEF,MID,,,,,2,2020,,
280336,248,Stephen,Hill,FRE,DEF,FWD,,,,,2,2020,,
295964,42,Patrick,Wilson,ADE,MID,,,,,,2,2020,,
1004870,342,Zach,Guthrie,GEE,DEF,,,,,,2,2020,,
1006103,376,Jye,Caldwell,GWS,MID,,73,,,,2,2020,,
1004848,722,Dylan,Stephens,SYD,MID,,,,,,2,2020,,
1004034,226,Brandon,Zerk-Thatcher,ESS,DEF,,,,,,2,2020,,
998569,819,Callum,Moore,CAR,FWD,,,,,,2,2020,,
1009201,25,Fischer,Mcasey,ADE,DEF,,52,,,,2,2020,,
298358,619,Oleg,Markov,RIC,MID,,,,,,2,2020,,
999391,498,Tom,Sparrow,MEL,FWD,,,,,,2,2020,,
1009256,273,Hayden,Young,FRE,DEF,,41,,,,2,2020,,
1002328,296,Jacob,Heron,GCS,FWD,,,,,,2,2020,,
992752,84,Archie,Smith,BRL,RUC,,,,,,2,2020,,
998511,315,Josh,Schoenfeld,GCS,FWD,,,,,,2,2020,,
998268,46,Jacob,Allison,BRL,MID,,,,,,2,2020,,
1009420,263,Caleb,Serong,FRE,MID,,,,,,2,2020,,
1005988,247,Liam,Henry,FRE,MID,FWD,,,,,2,2020,,
1002372,241,Hugh,Dixon,FRE,FWD,,,,,,2,2020,,
994047,57,Cedric,Cox,BRL,FWD,,,,,,2,2020,,
1009528,386,Tom,Green,GWS,MID,,,,,,2,2020,,
991773,10,Billy,Frampton,ADE,FWD,,,,,,2,2020,,
1009260,290,Sam,Flanders,GCS,MID,FWD,,,,,2,2020,,
1008541,480,Kysaiah,Kropinyeri-Pickett,MEL,FWD,,,,,,2,2020,,
1006303,744,Fergus,Greene,WBD,FWD,,,,,,2,2020,,
290326,58,Matt,Eagles,BRL,DEF,,,,,,2,2020,,
1005084,544,Will,Walker,NTH,FWD,,,,,,2,2020,,
1008550,420,Will,Day,HAW,DEF,,,,,,2,2020,,
993796,4,Ben,Crocker,ADE,FWD,,34,,,,2,2020,,
1000905,531,Tom,Murphy,NTH,DEF,,,,,,2,2020,,
1002143,530,Ben,McKay,NTH,DEF,,,,,,2,2020,,
1009191,552,Miles,Bergman,PTA,FWD,,,,,,2,2020,,
298336,332,Nakia,Cockatoo,GEE,MID,FWD,,,,,2,2020,,
1002401,87,Brandon,Starcevich,BRL,DEF,MID,99,,,,2,2020,,
998167,135,Tom,Williamson,CAR,DEF,,,,,,2,2020,,
1011803,768,Cody,Weightman,WBD,FWD,,,,,,2,2020,,
998791,826,Jamaine,Jones,WCE,FWD,,,,,,2,2020,,
1008083,394,Connor,Idun,GWS,DEF,,,,,,2,2020,,
997770,558,Wylie,Buzza,PTA,FWD,,,,,,2,2020,,
1006151,234,Jason,Carter,FRE,DEF,,,,,,2,2020,,
1004948,364,Cooper,Stephens,GEE,MID,,,,,,2,2020,,
998100,126,Cameron,Polson,CAR,FWD,,,,,,2,2020,,
997501,742,Ryan,Gardner,WBD,FWD,,29,,,,2,2020,,
1009241,106,Brodie,Kemp,CAR,MID,,,,,,2,2020,,
